what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1342153449105
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1342153449105
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1342153449105
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1342153449105
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1342153449106
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1342153449106
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1342153449106
os,sysinfo,,,"win32",1342153449112
arch,sysinfo,,,"x86",1342153449112
ws,sysinfo,,,"win32",1342153449112
locale,sysinfo,,,"en_US",1342153449112
processors,sysinfo,,,"2",1342153449112
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1342153449112
java.runtime.version,sysinfo,,,"1.6.0_30-b12",1342153449112
java.specification.name,sysinfo,,,"Java Platform API Specification",1342153449112
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342153449112
java.specification.version,sysinfo,,,"1.6",1342153449112
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1342153449112
java.version,sysinfo,,,"1.6.0_30",1342153449112
java.vm.info,sysinfo,,,"mixed mode",1342153449112
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1342153449112
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1342153449112
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342153449112
java.vm.specification.version,sysinfo,,,"1.0",1342153449112
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1342153449112
java.vm.version,sysinfo,,,"20.5-b03",1342153449112
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1342153449241
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1342153449335
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1342153449380
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1342153449603
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1342153453855
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1342153453881
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342153461783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342153481199
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1342153481219
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342153487982
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342153488238
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342153488847
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342153519745
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342153520552
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342153521817
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342153535984
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1342153536257
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1342153536264
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1342153536597
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1342153536599
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1342153536600
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1342153536601
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1342153536603
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1342153536605
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1342153536612
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1342153536612
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1342153536613
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1342153536615
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1342153536616
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1342153536617
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.401.v201108240414,"org.eclipse.jst.ws.consumption.ui",1342153536619
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.601.v201108230319,"org.eclipse.jst.ws.consumption",1342153536621
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1342153536622
